text;proc_text;A1;A2;A3;A4;A5;A6;majority_vote;roundID;Segment;WC;Analytic;Clout;Authentic;Tone;WPS;BigWords;Dic;Linguistic;function;pronoun;ppron;i;we;you;shehe;they;ipron;det;article;number;prep;auxverb;adverb;conj;negate;verb;adj;quantity;Drives;affiliation;achieve;power;Cognition;allnone;cogproc;insight;cause;discrep;tentat;certitude;differ;memory;Affect;tone_pos;tone_neg;emotion;emo_pos;emo_neg;emo_anx;emo_anger;emo_sad;swear;Social;socbehav;prosocial;polite;conflict;moral;comm;socrefs;family;friend;female;male;Culture;politic;ethnicity;tech;Lifestyle;leisure;home;work;money;relig;Physical;health;illness;wellness;mental;substances;sexual;food;death;need;want;acquire;lack;fulfill;fatigue;reward;risk;curiosity;allure;Perception;attention;motion;space;visual;auditory;feeling;time;focuspast;focuspresent;focusfuture;Conversation;netspeak;assent;nonflu;filler;AllPunc;Period;Comma;QMark;Exclam;Apostro;OtherP;Emoji
Fuck you china. I was 2 years clear of severe panic attacks and now it’s all back, crippling me physically and destroying me. #COVIDー19 #Anxiety #coronavirus;Fuck you china. I was 2 years clear of severe panic attacks and now it’s all back, crippling me physically and destroying me. #COVIDー19 #Anxiety #coronavirus;PP;PP;PP;PP;PP;PP;PP;Round1;1;26;4.85;7.93;81.58;1;8.67;26.92;92.31;61.54;46.15;19.23;15.38;11.54;0;3.85;0;0;3.85;3.85;0;7.69;3.85;7.69;7.69;7.69;0;7.69;7.69;7.69;3.85;0;0;3.85;3.85;3.85;0;0;0;0;0;0;0;0;26.92;0;26.92;11.54;0;11.54;11.54;0;0;7.69;7.69;7.69;0;0;7.69;0;0;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.38;15.38;3.85;0;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69;3.85;0;0;3.85;0;0;0;7.69;3.85;7.69;0;0;0;0;0;0;26.92;7.69;3.85;0;0;3.85;11.54;0
Feeling so off today and I can’t tell if this is the 4th time I’ve had #coronavirus or I am just having panic attacks... :weary::face_with_monocle::face_with_monocle::face_with_monocle: #coronathoughts;Feeling so off today and I can’t tell if this is the 4th time I’ve had #coronavirus or I am just having panic attacks... :weary::face_with_monocle::face_with_monocle::face_with_monocle: #coronathoughts;PP;PP;PP;PP;PP;PP;PP;Round1;1;25;1;1;85.71;1;12.5;16;96;72;68;16;12;12;0;0;0;0;4;12;4;8;4;24;8;16;4;28;4;4;0;0;0;0;16;0;16;4;0;4;8;0;12;0;8;0;8;8;0;8;8;0;0;0;4;4;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;4;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;0;0;4;0;8;12;0;0;0;0;0;0;28;12;0;0;0;8;8;16
Good lord people we need to stop having people trend while we're in the middle of this #COVID19 pandemic. I have a mini panic attack every time. I'm pretty sure I stopped breathing when I saw Pete Carroll trending #CoronavirusPandemic #Seahawks #12thMan https://t.co/iJ0XPVO3D0;Good lord people we need to stop having people trend while we're in the middle of this #COVID19 pandemic. I have a mini panic attack every time. I'm pretty sure I stopped breathing when I saw Pete Carroll trending #CoronavirusPandemic #Seahawks #12thMan ;PP;UN;PP;PO;PP;PP;PP;Round1;1;42;29.12;40.06;72.58;1;14;21.43;85.71;54.76;42.86;16.67;14.29;9.52;4.76;0;0;0;2.38;9.52;4.76;4.76;7.14;9.52;4.76;4.76;0;14.29;9.52;4.76;7.14;4.76;0;2.38;7.14;2.38;4.76;0;0;2.38;2.38;0;0;0;9.52;2.38;7.14;7.14;2.38;4.76;4.76;0;0;0;4.76;0;0;0;0;0;0;4.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.52;7.14;2.38;0;4.76;0;0;0;0;2.38;0;0;0;0;0;0;0;0;21.43;7.14;0;0;4.76;2.38;0;0;9.52;4.76;4.76;0;0;0;0;0;0;19.05;4.76;0;0;0;4.76;9.52;0
I'm telling yall, Chill the fuck out!! This Viruse shit is beyond fucking stupid. Making people fucking paranoid and nuts!! It will fucking pass! We still fucking living strong!! Grow up and Relax! We gone threw fucking worse. Think about it!! #coronavirus #Coronaidiots https://t.co/gKS3Rlfvvu;I'm telling yall, Chill the fuck out!! This Viruse shit is beyond fucking stupid. Making people fucking paranoid and nuts!! It will fucking pass! We still fucking living strong!! Grow up and Relax! We gone threw fucking worse. Think about it!! #coronavirus #Coronaidiots ;PO;PO;PO;PO;PO;PP;PO;Round1;1;43;30.58;17.05;82.44;3.38;4.78;20.93;93.02;69.77;39.53;16.28;9.3;2.33;4.65;2.33;0;0;6.98;4.65;2.33;0;9.3;6.98;6.98;4.65;0;27.91;9.3;0;6.98;4.65;0;2.33;4.65;0;4.65;2.33;2.33;0;0;0;0;0;27.91;4.65;6.98;4.65;2.33;2.33;2.33;0;0;16.28;9.3;2.33;0;0;0;0;2.33;6.98;0;0;0;0;0;0;0;0;2.33;2.33;0;0;0;0;9.3;6.98;4.65;0;2.33;0;0;0;0;0;0;0;0;0;0;0;0;0;9.3;18.6;0;6.98;11.63;0;0;0;0;4.65;4.65;2.33;0;0;0;0;0;37.21;4.65;2.33;0;23.26;2.33;4.65;0
"Episode of #CoronaVirus panic. Man took his glove off to shake my hand. Too awkward to say no, so I did and then went to a store to use spray.
Other people had run store out of spray.
Then, on my way home a fly flew into my eye. But of course I couldn't remove it because, y'know.";"Episode of #CoronaVirus panic. Man took his glove off to shake my hand. Too awkward to say no, so I did and then went to a store to use spray.
Other people had run store out of spray.
Then, on my way home a fly flew into my eye. But of course I couldn't remove it because, y'know.";PP;PP;PP;PP;PP;PP;PP;Round1;1;58;63.33;9.86;97.87;1.05;9.67;8.62;91.38;68.97;55.17;12.07;10.34;6.9;0;1.72;1.72;0;1.72;12.07;3.45;0;18.97;5.17;3.45;10.34;3.45;17.24;3.45;0;0;0;0;0;13.79;1.72;12.07;0;3.45;1.72;0;3.45;3.45;0;3.45;0;3.45;1.72;0;1.72;1.72;0;0;0;12.07;6.9;0;5.17;0;0;1.72;5.17;0;0;0;3.45;0;0;0;0;5.17;0;1.72;0;3.45;0;8.62;1.72;1.72;0;0;0;0;0;0;0;0;1.72;0;0;0;0;0;0;5.17;20.69;0;12.07;6.9;1.72;0;0;3.45;8.62;0;0;1.72;0;0;0;1.72;20.69;10.34;5.17;0;0;3.45;1.72;0
"NEWS! Conquer Anxiety, Stress and Panic Attacks! Special Corona  Offer! GET 50% OFF my Anxiety Download MP3 Pack with Special Code: CORONA50. *enter at ghe checkout. *Offer lasts for 7 days!
Visit https://t.co/qlBNdBAsoF #Anxiety #Insomnia #panic #fear #coronavirus #covid19UK https://t.co/0HSgrIOsPk";"NEWS! Conquer Anxiety, Stress and Panic Attacks! Special Corona  Offer! GET 50% OFF my Anxiety Download MP3 Pack with Special Code: CORONA50. *enter at ghe checkout. *Offer lasts for 7 days!
Visit  #Anxiety #Insomnia #panic #fear #coronavirus #covid19UK ";UN;PO;UN;PO;UN;PO;NoMajority;Round1;1;38;95.09;25.84;8.42;1;5.43;34.21;89.47;28.95;15.79;2.63;2.63;2.63;0;0;0;0;0;2.63;0;13.16;10.53;0;0;2.63;0;5.26;5.26;2.63;2.63;0;2.63;2.63;0;0;0;0;0;0;0;0;0;0;21.05;0;21.05;21.05;0;21.05;21.05;0;0;0;10.53;10.53;0;0;0;0;2.63;0;0;0;0;0;0;0;0;0;2.63;0;0;2.63;0;0;10.53;10.53;2.63;0;7.89;0;0;0;0;0;0;5.26;0;0;2.63;0;0;0;10.53;2.63;0;2.63;0;0;0;0;5.26;0;0;0;0;0;0;0;0;44.74;5.26;2.63;0;10.53;0;26.32;0
"As someone who has experienced anxiety and panic attacks a lot in my life, I understand how many sufferers of anxiety feel right now with regards to the #Coronavirus (Covid-19). CONTINUE READING
https://t.co/IxHicrVU9B @KellyMartin_UK
 #anxiety https://t.co/C4tiOuolLF";"As someone who has experienced anxiety and panic attacks a lot in my life, I understand how many sufferers of anxiety feel right now with regards to the #Coronavirus (Covid-19). CONTINUE READING
 @KellyMartin_UK
 #anxiety ";PP;PO;PP;PO;PO;PP;NoMajority;Round1;1;34;79.1;40.06;83.69;1;17;41.18;94.12;58.82;50;11.76;8.82;5.88;0;0;0;0;2.94;14.71;5.88;2.94;14.71;2.94;5.88;5.88;0;11.76;2.94;5.88;0;0;0;0;11.76;0;11.76;8.82;2.94;0;2.94;0;0;0;17.65;0;17.65;17.65;0;17.65;14.71;0;0;0;11.76;2.94;0;2.94;0;0;0;5.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.76;11.76;5.88;0;5.88;0;0;0;0;0;0;0;0;0;0;0;0;0;11.76;5.88;0;0;2.94;0;0;2.94;5.88;0;8.82;0;0;0;0;0;0;26.47;2.94;2.94;0;0;0;20.59;0
H1N1 while Obama was in office, Ebola while he was in office.....no panic at all from the lib media.  #CoronavirusPandemic while on Trump's watch, wide spread paranoia and hysteria.  Lets shut the country down over models.  I believe we all know how weather models lie;H1N1 while Obama was in office, Ebola while he was in office.....no panic at all from the lib media.  #CoronavirusPandemic while on Trump's watch, wide spread paranoia and hysteria.  Lets shut the country down over models.  I believe we all know how weather models lie;UN;UN;PO;PO;PO;PO;PO;Round1;1;46;72.44;76.75;98.67;1;11.5;13.04;82.61;58.7;50;8.7;8.7;2.17;4.35;0;2.17;0;0;10.87;4.35;2.17;15.22;6.52;2.17;8.7;2.17;13.04;2.17;6.52;4.35;4.35;0;0;13.04;6.52;6.52;6.52;2.17;0;0;0;0;0;6.52;0;6.52;4.35;0;4.35;4.35;0;0;0;10.87;2.17;0;0;0;0;0;6.52;0;0;0;2.17;0;0;0;0;4.35;0;0;4.35;0;0;4.35;4.35;2.17;0;2.17;0;0;0;0;0;0;0;0;0;0;0;0;0;6.52;19.57;2.17;0;17.39;2.17;0;0;6.52;4.35;2.17;0;0;0;0;0;0;26.09;17.39;4.35;0;0;2.17;2.17;0
"Don’t let this #coronavirus bullshit steer you into a state of panic, stress &amp; fear... That’s why @ABC @CNN etc show you these big ass numbers &amp; headlines. Fear weakens the immune system. Chill, stay hygienic &amp; observe....";"Don’t let this #coronavirus bullshit steer you into a state of panic, stress &amp; fear... That’s why @ABC @CNN etc show you these big ass numbers &amp; headlines. Fear weakens the immune system. Chill, stay hygienic &amp; observe....";PO;PO;PO;PO;PO;PO;PO;Round1;1;38;67.62;40.06;3.19;1;9.5;18.42;68.42;39.47;28.95;13.16;5.26;0;0;5.26;0;0;7.89;13.16;5.26;0;5.26;2.63;2.63;0;2.63;7.89;2.63;5.26;7.89;0;0;7.89;5.26;0;5.26;0;2.63;0;0;0;2.63;0;18.42;0;13.16;10.53;0;10.53;10.53;0;0;5.26;5.26;0;0;0;0;0;0;5.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.53;7.89;2.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.26;10.53;2.63;0;5.26;5.26;0;0;0;0;2.63;0;0;0;0;0;0;57.89;23.68;5.26;0;0;5.26;23.68;0
When you are having a panic attack and one of the signs of #Coronavirus is shortness of breath. Then you start panicking more. #COVID19Pandemic #panicattacks #anxiety https://t.co/y89cNfTYdr;When you are having a panic attack and one of the signs of #Coronavirus is shortness of breath. Then you start panicking more. #COVID19Pandemic #panicattacks #anxiety ;PP;PP;PP;PO;PO;PO;NoMajority;Round1;1;26;53.56;98.04;11.63;1;8.67;23.08;92.31;61.54;57.69;7.69;7.69;0;0;7.69;0;0;0;15.38;7.69;7.69;11.54;11.54;3.85;11.54;0;15.38;3.85;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.23;0;19.23;19.23;0;19.23;19.23;0;0;0;7.69;0;0;0;0;0;0;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.38;11.54;3.85;0;7.69;0;0;0;0;0;0;0;0;0;0;0;0;0;3.85;0;0;0;0;0;0;0;11.54;0;7.69;0;0;0;0;0;0;23.08;7.69;0;0;0;0;15.38;0
